file,status,policy_group,mapped_to,category,page_count,title_guess,key_topics,relevance_summary,external_context,reason
DICT - Department Circular No 004 s.2024.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-ISSUANCES,national_baseline,10,DICT - Department Circular No 004 s.2024.pdf,unclassified,Department-level ICT circulars and directives used for practical implementation controls.,ICT governance practitioners usually treat department circulars as immediate operational directives that refine implementation details.,Mapped by filename legal/circular identifier.
DICT - Department Circular No 005 s.2024.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-ISSUANCES,national_baseline,6,DICT - Department Circular No 005 s.2024.pdf,unclassified,Department-level ICT circulars and directives used for practical implementation controls.,ICT governance practitioners usually treat department circulars as immediate operational directives that refine implementation details.,Mapped by filename legal/circular identifier.
DICT - Department Circular No HRA-001 s2026.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-ISSUANCES,national_baseline,12,DICT - Department Circular No HRA-001 s2026.pdf,unclassified,Department-level ICT circulars and directives used for practical implementation controls.,ICT governance practitioners usually treat department circulars as immediate operational directives that refine implementation details.,Mapped by filename legal/circular identifier.
DICT - Department Circular No HRA-002 s2026.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-ISSUANCES,national_baseline,7,DICT - Department Circular No HRA-002 s2026.pdf,unclassified,Department-level ICT circulars and directives used for practical implementation controls.,ICT governance practitioners usually treat department circulars as immediate operational directives that refine implementation details.,Mapped by filename legal/circular identifier.
DICT - Department Circular No HRA-007 s 2025.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-ISSUANCES,national_baseline,20,DICT - Department Circular No HRA-007 s 2025.pdf,unclassified,Department-level ICT circulars and directives used for practical implementation controls.,ICT governance practitioners usually treat department circulars as immediate operational directives that refine implementation details.,Mapped by filename legal/circular identifier.
DICT - Derpartment Circular No HRA 003 s2025.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,4,DICT - Derpartment Circular No HRA 003 s2025.pdf,unclassified,Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Sector-specific DICT telecom-provider circular; not generally applicable across non-telecom public service offices.
DICT - DICT Act IRR.pdf,INCLUDED,CIRCULAR OR ADVISORY,DICT-CYBER-INDEX,national_baseline,14,Implementing Rules for Department of ICT Act,"privacy, cybersecurity, procurement, records",Cybersecurity advisories and policy references for operational cyber governance.,No specific external explainer captured yet; rely on legal text and agency guidance.,Matches current applicable issuance list.
DICT - National Cybersecurity Plan 2023-2028.pdf,INCLUDED,PLAN,NCSP-2023-2028,national_baseline,45,Republic of the Philippines,"privacy, cybersecurity, procurement, records",National cybersecurity strategy reference for risk reduction and resilience planning.,Cybersecurity policy discussions frame this as the strategic roadmap for national cyber resilience and cross-sector coordination.,Mapped by filename legal/circular identifier.
EO 170 - ADOPTION OF DIGITAL PAYMENTS FOR GOVERNMENT DISBURSEMENTS AND COLLECTIONS.pdf,INCLUDED,EXECUTIVE ORDER,EO-170-2022,national_baseline,6,"Daily Tribune, May 16, 2022; 118 OG No. 21, 5916 (May 23, 2022)","privacy, cybersecurity, procurement, digital services",Government digital payments directive requiring secure interoperable ICT implementation.,Fintech and public finance commentary often discusses this as a major push for government digital payment adoption and interoperability.,Mapped by filename legal/circular identifier.
EO 2 - FREEDOM OF INFORMATION.pdf,INCLUDED,EXECUTIVE ORDER,EO-2-2016,national_baseline,6,"Manila Bulletin (July 27, 2016)","privacy, cybersecurity, records, digital services",Public transparency directive supporting disclosure and information access processes in public service operations.,Public governance explainers often cite this as the executive FOI operational mechanism for citizen-facing transparency requests.,Mapped by filename legal/circular identifier.
"EO 58 - ADOPTING THE NATIONAL CYBERSECURITY PLAN 2023-2028, AND DIRECTING THE IMPLEMENTATION THEREOF.pdf",INCLUDED,PLAN,NCSP-2023-2028,national_baseline,3,"Manila Bulletin, April 12, 2024 p.5","cybersecurity, governance",National cybersecurity strategy reference for risk reduction and resilience planning.,Cybersecurity policy discussions frame this as the strategic roadmap for national cyber resilience and cross-sector coordination.,Mapped by filename legal/circular identifier.
Government Procurement Act IRR.pdf,INCLUDED,IRR,GPPB-IRR-9184,national_baseline,76,Implementing Rules and Regulations of Republic Act No. 9184,"privacy, cybersecurity, procurement, records",Operational procurement rules used to implement digital/e-procurement procedures.,Procurement compliance commentary generally uses IRR guidance as the day-to-day interpretation layer for implementers and auditors.,Mapped by filename legal/circular identifier.
Government Procurement Act Revised IRR.pdf,INCLUDED,IRR,GPPB-IRR-9184,national_baseline,114,REVISED IMPLEMENTING,"privacy, cybersecurity, procurement, records",Operational procurement rules used to implement digital/e-procurement procedures.,Procurement compliance commentary generally uses IRR guidance as the day-to-day interpretation layer for implementers and auditors.,Mapped by filename legal/circular identifier.
Government Procurement Act Updated Revised IRR.pdf,INCLUDED,IRR,GPPB-IRR-9184,national_baseline,422,GOVERNMENT PROCUREMENT POLICY BOARD,"privacy, cybersecurity, procurement, records",Operational procurement rules used to implement digital/e-procurement procedures.,Procurement compliance commentary generally uses IRR guidance as the day-to-day interpretation layer for implementers and auditors.,Mapped by filename legal/circular identifier.
JMC - EODB 2018 IRR.pdf,INCLUDED,IRR,RA-11032-IRR,national_baseline,45,"[ IRR REPUBLIC ACT NO. 11032 (CSC, ARTA, DTIJoint Memorandum Circular No. 2019-001), July 17,2019 ]","cybersecurity, records, digital services, public service",Procedure-level implementation requirements for digital service delivery controls.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename EODB IRR identifier.
Konektadong Pinoy Act IRR.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,44,"This  Implementing  Rules  and  Regulations,  hereinafter  referred  to  as  the  IRR,  is  promulgated","privacy, cybersecurity, records, digital services",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Deferred pending final operational control mapping in your scope.
MC_2012-020.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-MC,INTERNAL POLICY - MEMORANDUM CIRCULAR,4,"ie of the Philippines,","cybersecurity, records, digital services, public service",Internal Memorandum Circular relevant to agency-specific ICT controls and procedures.,"Internal governance practice treats MCs as implementer guidance for day-to-day controls, escalation, and process consistency.",Included per rule: all AO/MC are classified as INTERNAL_POLICY.
MC_2023-011.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-MC,INTERNAL POLICY - MEMORANDUM CIRCULAR,66,MC_2023-011.pdf,unclassified,Internal Memorandum Circular relevant to agency-specific ICT controls and procedures.,"Internal governance practice treats MCs as implementer guidance for day-to-day controls, escalation, and process consistency.",Included per rule: all AO/MC are classified as INTERNAL_POLICY.
MC_2024-003.pdf,INCLUDED,INTERNAL POLICY,INTERNAL-MC,INTERNAL POLICY - MEMORANDUM CIRCULAR,9,MC_2024-003.pdf,unclassified,Internal Memorandum Circular relevant to agency-specific ICT controls and procedures.,"Internal governance practice treats MCs as implementer guidance for day-to-day controls, escalation, and process consistency.",Included per rule: all AO/MC are classified as INTERNAL_POLICY.
New Government Procurement Act IRR.pdf,INCLUDED,IRR,GPPB-IRR-9184,national_baseline,163,"[ IRR of REPUBLIC ACT NO. 12009, February 10, 2025]","privacy, cybersecurity, procurement, records",Operational procurement rules used to implement digital/e-procurement procedures.,Procurement compliance commentary generally uses IRR guidance as the day-to-day interpretation layer for implementers and auditors.,Mapped by filename legal/circular identifier.
NPC - NPC Circular 2023-06 Security of Personal Data in the Government and the Private Sector.pdf,INCLUDED,CIRCULAR OR ADVISORY,NPC-CIRCULARS,national_baseline,10,Republic of the Philippines,"privacy, cybersecurity, records, digital services",Privacy regulator circular guidance used for implementation and compliance interpretation.,Privacy advisory reviews frequently cite NPC circulars for concrete compliance expectations beyond statute-level text.,Mapped by filename legal/circular identifier.
RA 10173 - Data Privacy Act 2012.pdf,INCLUDED,LAW,RA-10173,national_baseline,17,"108 OG No. 41, 5168 (October 8, 2012); Manila Bulletin; Philippine Star, August 24,","privacy, cybersecurity, records, digital services","Data privacy governance baseline for lawful processing, security safeguards, and accountability in ICT systems.","Public explainers commonly frame this as the Philippines' primary personal-data rights and accountability law, implemented by the NPC.",Mapped by filename legal/circular identifier.
RA 10175 - Cybercrime Prevention Act 2012.pdf,INCLUDED,LAW,RA-10175,national_baseline,12,"108 OG No. 44, 5652 (October 29, 2012); Philippine Star; Manila Bulletin, Septemmber","privacy, cybersecurity, procurement, digital services","Cybercrime legal framework supporting incident response, cyber investigations, and digital evidence handling.",Third-party legal commentary often highlights dual themes: cybercrime enforcement utility and free-expression concerns around cyberlibel implementation.,Mapped by filename legal/circular identifier.
"RA 10372 - An Act Amending Certain Provisions of Republic Act No. 8293, Otherwise Known as the 'Intellectual Property Code of the Philippines', and for Other Purposes.pdf",MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,9,"H. No. 3841; 109 OG No. 18, 3187 (May 6, 2013); Manila Bulletin; Philippine Star,","records, digital services",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Intellectual Property laws are ICT-adjacent and deferred from current baseline.
RA 10844 - Department of Information and Communications Technology Act of 2015.pdf,INCLUDED,LAW,RA-10844,national_baseline,9,"H. No. 6198 S. No. 2686 ; Manila Bulletin (May 25, 2016); 112 OG No. 29, 4414 (July","privacy, cybersecurity, procurement, records",Establishes DICT mandate and national ICT governance architecture.,Policy analysis sources describe this as the institutional anchor that consolidated national ICT policy leadership under DICT.,Mapped by filename legal/circular identifier.
RA 10929 - Free Internet Access in Public Places Act.pdf,INCLUDED,LAW,RA-10929,national_baseline,7,"113 OG No. 33, 5961 (August 14, 2017); Manila Bulletin, August 4, 2017","privacy, cybersecurity, governance",Public connectivity and service-delivery support for ICT access programs.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename legal/circular identifier.
RA 11032 - Ease of Doing Business and Efficient Goverment Delivery Act 2018.pdf,INCLUDED,LAW,RA-11032,national_baseline,19,"114 OG No. 24, 4161 (June 11, 2018)","privacy, cybersecurity, records, digital services",Drives digital service process reform and turnaround governance in public sector workflows.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename legal/circular identifier.
RA 11313 - Safe Spaces Act.pdf,INCLUDED,LAW,RA-11313,national_baseline,14,"115 OG No. 31, 8203 (August 5, 2019)","privacy, cybersecurity, records, digital services",Online safety controls and obligations related to digital harassment prevention.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename legal/circular identifier.
RA 11449 - Access Devices Regulation Act 1998 Additional Prohibitions and Penalties.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,6,"115 OG No. 47, 3144 (November 25, 2019)","cybersecurity, digital services, governance",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Access Devices laws currently deferred unless access-device fraud controls are in scope.
RA 11927 - Philippine Digital Workforce Competitiveness Act.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,8,"Daily Tribune, Manila Bulletin, August 8, 2022; 118 OG No. 33, 9279 (August 15, 2022)","digital services, governance",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Deferred pending final operational control mapping in your scope.
RA 11967 - Internet Transactions Act 2023.pdf,INCLUDED,LAW,RA-11967,national_baseline,16,"Daily Tribune, December 8, 2023 p.A14; 119 OG No. 51, 10623 (December 18, 2023)","privacy, cybersecurity, digital services, public service",Internet transaction governance and online platform accountability baseline.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename legal/circular identifier.
RA 12009 - New Government Procurement Act.pdf,INCLUDED,LAW,RA-12009,national_baseline,50,"[ REPUBLIC ACT NO. 12009, July 20, 2024 ]","privacy, cybersecurity, procurement, records",Modernized procurement regime affecting digital procurement and ICT acquisition controls.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename legal/circular identifier.
RA 12234 - Konektadong Pinoy act.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,20,"Manila Bulletin, August 30, 202 p.7","cybersecurity, records, digital services, public service",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Deferred pending final operational control mapping in your scope.
RA 12254 - E-Governance Act.pdf,INCLUDED,LAW,RA-12254,national_baseline,22,"Manila Bulletin, September 11, 2025 p.7","privacy, cybersecurity, procurement, records","E-governance policy baseline supporting digital public services, interoperability, and service modernization.",E-government policy discussions generally present this as a key digital public-service modernization instrument.,Mapped by filename legal/circular identifier.
RA 8293 - Intelectual Property Code of the Philippines.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,69,"S. No. 1719 H. No. 8098 / 93 OG No. 42, 1 (supp.) (Oct. 20, 1997) ; 99 OG No. 8, 1","cybersecurity, procurement, records, digital services",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Intellectual Property laws are ICT-adjacent and deferred from current baseline.
RA 8484 - Access Devices Regulations Act 1998.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,8,"S. No. 2051 H. No. 6951 / 94 OG No. 25, 34 Supp. (June 22, 1998) ; Times 2/18/98 ; 9","cybersecurity, records, digital services, governance",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Access Devices laws currently deferred unless access-device fraud controls are in scope.
RA 8792 - Electronic Commerce Act 2000.pdf,INCLUDED,LAW,RA-8792,national_baseline,16,"S. No. 1902 H. No. 9971 / 96 OG No. 48, 7675 (Nov. 27, 2000) ; 12 VLD 2d 1","cybersecurity, records, digital services, governance","Legal basis for electronic documents, signatures, and digital transactions in e-governance.",Technology-law explainers reference this as the legal-enablement law for electronic documents and transactions in government and commerce.,Mapped by filename legal/circular identifier.
RA 9184 - Government Procurement Reform Act.pdf,INCLUDED,LAW,RA-9184,national_baseline,24,"S. No. 2248 H. No. 4809 / 99 OG No. 11, 1681 (Mar. 17, 2003) ; Malaya 01/11/03 ; 17","cybersecurity, procurement, records, digital services",Foundational procurement law with relevance to ICT procurement traceability and compliance.,No specific external explainer captured yet; rely on legal text and agency guidance.,Mapped by filename legal/circular identifier.
RA 9485 - Anti-Red Tape Act 2007.pdf,INCLUDED,LAW,RA-9485,national_baseline,7,S. No. 2589 H. No. 3776 / Bus. Mirror 6/15/07 ; Malaya 6/15/07,"records, public service, governance","Public service process-improvement law requiring anti-red-tape measures, client-facing service standards, and process transparency.",Governance and public administration commentary usually frames this as a foundational anti-red-tape and service-delivery reform law for agencies.,Mapped by filename legal/circular identifier.
RA 9775 - Anti-Child Pornography Act 2009.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,13,"S. No. 2317 H. No. 6440; 106 OG No. 6, 746 (February 8, 2010)","privacy, cybersecurity, records, digital services",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Deferred; safety-law track not in core ICT baseline.
RA 9995 - Anti-Photo and Video Voyeurism Act 2009.pdf,MARK_FOR_REMOVAL,OTHER,DEFERRED,deferred,3,"S. No. 2357 H. No. 6517; 106 OG No. 15, 2049 (April 12, 2010)","privacy, governance",Needs manual legal/operational relevance confirmation.,No specific external explainer captured yet; rely on legal text and agency guidance.,Deferred; safety-law track not in core ICT baseline.
